STT;Tên biến;Việt Nam;English;Indonesia
0;clearDataSuccess;Xóa dữ liệu thành công;Xóa dữ liệu thành công;Xóa dữ liệu thành công
1;timeOutAuth;Đã hết thời gian xác thực;Đã hết thời gian xác thực;Đã hết thời gian xác thực
2;isWaitingAuth;Đang đợi xác thực;Đang đợi xác thực;Đang đợi xác thực
3;loginWithGooogle;Đăng nhập với Google;Đăng nhập với Google;Đăng nhập với Google
4;loginWithApple;Đăng nhập với Apple;Đăng nhập với Apple;Đăng nhập với Apple
5;khoangThach;Khoáng thạch;Khoáng thạch;Khoáng thạch
6;inputYourKey;Nhập phím bạn muốn gán;Nhập phím bạn muốn gán;Nhập phím bạn muốn gán
7;downloadingData;ĐANG TẢI...;Đang tải dữ liệu vui lòng đợi;Đang tải dữ liệu vui lòng đợi
8;changingMap;Đang tải khu vực, vui lòng đợi;Đang tải khu vực, vui lòng đợi;Đang tải khu vực, vui lòng đợi
9;fullName;Họ và tên;Họ và tên;Họ và tên
10;CCCD;CCCD;CCCD;CCCD
11;birthday;Ngày sinh;Ngày sinh;Tanggal lahir
12;phone;Số điện thoại;Số điện thoại;Nomor telepon
13;invalidDate;Ngày sinh không hợp lệ;Invalid date of birth;Tanggal lahir tidak valid
14;checkTextByLength; quá ngắn; quá ngắn; quá ngắn
15;email;Email;Email;Email
16;invalid; không hợp lệ; không hợp lệ; không hợp lệ
17;confirmDeleteAccount;Bạn có muốn xóa vĩnh viễn tài khoản này không?;Do you want to permanently delete this account?;Apakah Anda ingin menghapus akun ini secara permanen?
18;OK;OK;OK;OK
19;create;Tạo;Create;Buat
20;friend;Bạn bè;Friend;Teman
21;friend_request;Lời mời kết bạn;Friend request;Permintaan pertemanan
22;level;Cấp;Level;Level
23;SORT;Sắp xếp;Sort;Sortir
24;trangbi;Trang bị;Equipment;Perlengkapan
25;low;Thấp;Low;Rendah
26;high;Cao;High;Tinggi
27;change_account;Đổi tài khoản;Select account;Pilih akun
28;logout;Đăng xuất;Log out;Keluar
29;deleteAccount;Xoá tài khoản;Delete account;Hapus akun
30;register;Đăng ký;Register;Daftar
31;remember;Lưu tài khoản;Remember;Ingat
32;password;Mật khẩu;Password;Kata sandi
33;downloading_data;Đang tải;Downloading;Mengunduh
34;CLOSE;Đóng;Close;Tutup
35;msg;Tin nhắn;Message;Pesan
36;CANCEL;Hủy;Cancel;Batal
37;PLEASEWAIT;Xin chờ;Please wait;Harap tunggu
38;GETOUT;Lấy ra;Move to Equipment;Keluar
39;zone;Khu vực;Zone;Zona
40;miss;Hụt;Miss;Meleset
41;ACCEPT;Đồng ý;Accept;Terima
42;BUY;Mua;Buy;Beli
43;GETIN;Cất vào;Deposit;Simpan
44;TYPE_KHO;null;null;null
45;SELECT;Chọn;Select;Pilih
46;BACK;Đóng;Back;Kembali
47;FIX;Sửa;Fix;Perbaiki
48;restoration;Khôi phục;Restore;Pulihkan
49;YES;Có;Yes;Ya
50;NO;Không;No;Tidak
51;HP;HP;HP;HP
52;KI;KI;KI;KI
53;huy;Hủy;Cancel;Batal
54;inventory_Pass;Mã bảo vệ;Inventory Password;Kata Sandi Inventaris
55;num;Số lượng;Quantity;Jumlah
56;DONT_HAVE_ITEM_HEAL;Bạn không có vật phẩm hồi máu;You don't have healing items;Anda tidak memiliki item penyembuh
57;NAME_GAME;Đại chiến Ninja;Ninja Battle;Pertempuran Ninja
58;tabFriendDefault;Danh sách bạn bè trống|Chưa có lời mời kết bạn;Friend list is empty|No friend requests yet;Daftar teman kosong|Belum ada permintaan pertemanan
59;PARTY_OPTION_GET_ITEM;Trưởng nhóm|Ngẫu nhiên|Tự do;Leader|Random|Free;Pemimpin|Acak|Bebas
60;PK_OPTION;Hòa bình|Chiến đấu 1|Chiến đấu 2|Chiến đấu 3|Đồ sát;Peace|Combat 1|Combat 2|Combat 3|Slaughter;Damai|Pertarungan 1|Pertarungan 2|Pertarungan 3|Pembantaian
61;typeRefined;Bạc khoáng|Vàng khoáng|Bạch ngân khoáng|Hoàng ngân khoáng;Silver ore|Gold ore|Platinum ore|Imperial ore;Bijih perak|Bijih emas|Bijih platinum|Bijih imperial
62;giaoDich;null;null;null
63;lvCurrent;Cấp hiện tại;Current level;Level saat ini
64;notInfo;Chưa có thông tin;No information yet;Belum ada informasi
65;upgradeFailNotDown;Cường hóa thất bại, trang bị không bị giảm cấp;Enhancement failed, equipment level not reduced;Peningkatan gagal, peralatan tidak diturunkan levelnya
66;upgradeFail;Cường hóa thất bại;Enhancement failed;Peningkatan gagal
67;upgradeSuccess;Cường hóa thành công;Enhancement successful;Peningkatan berhasil
68;chooseItemUpgradeExtractRefined;Chọn trang bị cường hóa|Chọn trang bị tinh luyện|Chọn khoáng thạch|Chọn khoáng thạch;Choose enhancement equipment|Choose refining equipment|Choose ore|Choose ore;Pilih peralatan peningkatan|Pilih peralatan pemurnian|Pilih bijih|Pilih bijih
69;upgradeExtractRefined;Cường hóa|Tinh luyện|Chiết xuất|Nâng cấp đá;Enhance|Refine|Extract|Upgrade gem;Tingkatkan|Murnikan|Ekstrak|Tingkatkan permata
70;percentSucess;Tỉ lệ thành công;Success rate;Tingkat keberhasilan
71;findSuccess;Đã tìm được;Found successfully;Berhasil ditemukan
72;outAllGroupSucess;Bạn đã giải tán nhóm;You have disbanded the party;Anda telah membubarkan kelompok
73;gem;Ngọc;Gem;Permata
74;gemLock;Ngọc khóa;Locked gem;Permata terkunci
75;pickYourMoneyCallBackParty;Sử dụng 1 Ngọc hoặc 1 Ngọc khóa để triệu hồi;Use 1 Gem or 1 Locked Gem to summon;Gunakan 1 Permata atau 1 Permata Terkunci untuk memanggil
76;youRemovedParty;Bạn đã bị loại khỏi nhóm;You have been removed from the party;Anda telah dikeluarkan dari kelompok
77;confirmOutParty;Bạn có muốn rời nhóm không?;Do you want to leave the party?;Apakah Anda ingin meninggalkan kelompok?
78;outParty;Rời nhóm;Leave party;Tinggalkan kelompok
79;addPlayer;Thêm người;Add player;Tambah pemain
80;confirmAllOutParty;Bạn có muốn giải tán nhóm không?;Do you want to disband the party?;Apakah Anda ingin membubarkan kelompok?
81;callBack;Triệu hồi;Summon;Panggil
82;searchParty;Nhập tên hoặc ID;Enter name or ID;Masukkan nama atau ID
83;invite;Mời;Invite;Undang
84;inviteWord;Mời thế giới;Invite world;Undang dunia
85;inviteAll;Mời tất cả;Invite all;Undang semua
86;autoAccept;Tự động đồng ý;Auto accept;Terima otomatis
87;getItem;Nhặt vật phẩm;Pick up item;Ambil item
88;outAll;Giải tán;Disband;Bubarkan
89;apply;Xin gia nhập;Apply to join;Minta bergabung
